,id,deposits,open_date,heritage,balance,free_margin,margin,profit,margin_level,current_candle
0,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
1,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
2,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
3,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
4,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
5,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
6,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
7,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
8,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
9,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
10,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
11,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
12,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
13,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
14,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
15,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
16,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
17,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
18,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
19,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
20,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
21,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
22,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
23,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
24,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
25,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
26,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
27,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
28,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
29,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
30,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
31,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
32,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
33,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
34,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
35,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
36,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
37,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
38,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
39,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
40,20230121105915208468,[20000.0],2023-01-21 10:59:15.208468-05:00,20000.0,20000.0,20000.0,0.0,0.0,0.0,"{'timestamp': Timestamp('2022-12-20 13:51:00-0500', tz='America/Bogota'), 'open': 1.06075, 'high': 1.06075, 'low': 1.06055, 'close': 1.0607}"
